cod_usuario,data_cadastro,faixa_etaria,cidade,estado
2856,25/12/2019,Entre 16 a 21 anos,Ibipeba,Bahia
2903,25/12/2019,Entre 50 a 61 anos,Espinosa,Minas Gerais
2908,31/01/2018,Entre 22 a 27 anos,Ponte Nova,Minas Gerais
2910,07/08/2020,Entre 16 a 21 anos,Chiador,Minas Gerais
2920,03/01/2021,Entre 50 a 61 anos,Joanópolis,São Paulo
2981,26/06/2021,Entre 22 a 27 anos,Jaguarari,Bahia
3040,08/05/2021,Entre 28 a 36 anos,Suzano,São Paulo
3090,08/04/2019,Entre 50 a 61 anos,Santa Bárbara do Leste,Minas Gerais
3248,15/05/2021,Entre 62 a 70 anos,Itueta,Minas Gerais
3358,14/05/2018,Entre 22 a 27 anos,Rubiataba,Goiás
3400,24/07/2018,Entre 22 a 27 anos,Bom Jesus da Serra,Bahia
3403,18/09/2020,Mais de 70 anos,Lagoa de Velhos,Rio Grande do Norte
3499,17/12/2019,Entre 10 a 15 anos,Jacuí,Minas Gerais
3504,23/06/2021,Entre 16 a 21 anos,Bom Jesus do Galho,Minas Gerais
3516,13/10/2019,Entre 10 a 15 anos,Rio Verde,Goiás
3556,04/08/2020,Entre 62 a 70 anos,Confresa,Mato Grosso
3560,04/09/2018,Entre 16 a 21 anos,Maracaí,São Paulo
3564,02/07/2018,Entre 62 a 70 anos,Betim,Minas Gerais
3692,28/08/2018,Mais de 70 anos,Nipoã,São Paulo
3754,16/05/2021,Entre 28 a 36 anos,Alcantil,Paraíba
3764,10/09/2020,Entre 37 a 49 anos,Itaipava do Grajaú,Maranhão
3829,10/11/2020,Entre 28 a 36 anos,Jaraguá,Goiás
3837,18/08/2018,Mais de 70 anos,Campo Grande,Mato Grosso do Sul
3861,27/05/2020,Mais de 70 anos,Juti,Mato Grosso do Sul
3879,15/12/2018,Entre 62 a 70 anos,Piranga,Minas Gerais
4020,17/12/2019,Mais de 70 anos,Araioses,Maranhão
4251,16/03/2018,Entre 10 a 15 anos,São Geraldo do Baixio,Minas Gerais
4269,14/10/2020,Entre 22 a 27 anos,General Carneiro,Mato Grosso
4334,10/10/2018,Entre 28 a 36 anos,Doutor Severiano,Rio Grande do Norte
4391,30/06/2018,Entre 62 a 70 anos,São José da Lapa,Minas Gerais
4431,16/02/2020,Mais de 70 anos,Cachoeiro de Itapemirim,Espírito Santo
4443,13/04/2018,Entre 37 a 49 anos,São Miguel do Tocantins,Tocantins
4725,23/01/2019,Entre 22 a 27 anos,Serra,Espírito Santo
4850,11/02/2018,Entre 10 a 15 anos,Engenheiro Caldas,Minas Gerais
4909,15/06/2019,Entre 16 a 21 anos,Eldorado,São Paulo
4995,23/06/2019,Mais de 70 anos,Nova Luzitânia,São Paulo
5049,15/10/2020,Entre 10 a 15 anos,Cabeceiras,Goiás
5098,03/05/2021,Entre 62 a 70 anos,Guaraci,Paraná
5133,05/08/2019,Entre 16 a 21 anos,Sebastianópolis do Sul,São Paulo
5229,22/11/2019,Entre 10 a 15 anos,Cerqueira César,São Paulo
5245,05/03/2021,Entre 37 a 49 anos,Dona Francisca,Rio Grande do Sul
5247,20/08/2018,Entre 28 a 36 anos,Rolante,Rio Grande do Sul
5284,24/01/2018,Entre 22 a 27 anos,Lucélia,São Paulo
5290,21/03/2020,Entre 16 a 21 anos,Itapuí,São Paulo
5318,14/12/2019,Entre 62 a 70 anos,Lizarda,Tocantins
5361,08/07/2021,Entre 37 a 49 anos,Patos de Minas,Minas Gerais
5405,26/05/2019,Entre 62 a 70 anos,Encantado,Rio Grande do Sul
5408,07/05/2020,Entre 22 a 27 anos,Santa Maria das Barreiras,Pará
5440,03/07/2020,Entre 62 a 70 anos,Santa Rita de Cássia,Bahia
5482,22/09/2020,Entre 62 a 70 anos,Bebedouro,São Paulo
5504,01/09/2019,Entre 16 a 21 anos,Cariri do Tocantins,Tocantins
5614,02/11/2020,Entre 50 a 61 anos,Itaguaçu da Bahia,Bahia
5622,21/02/2019,Entre 28 a 36 anos,Lagoa de São Francisco,Piauí
5676,15/04/2018,Entre 37 a 49 anos,Santa Cruz do Arari,Pará
5728,27/04/2021,Entre 28 a 36 anos,Macatuba,São Paulo
5772,06/06/2018,Entre 37 a 49 anos,Luisburgo,Minas Gerais
5826,15/11/2018,Entre 28 a 36 anos,Santa Rita do Tocantins,Tocantins
5896,31/03/2019,Entre 50 a 61 anos,Jaupaci,Goiás
5923,12/09/2019,Entre 16 a 21 anos,Coremas,Paraíba
5944,25/04/2018,Entre 28 a 36 anos,Benedito Novo,Santa Catarina
5961,24/09/2020,Mais de 70 anos,Salto do Lontra,Paraná
6090,02/12/2018,Entre 10 a 15 anos,Josenópolis,Minas Gerais
6096,04/02/2020,Entre 28 a 36 anos,Equador,Rio Grande do Norte
6110,26/07/2018,Entre 22 a 27 anos,Poção,Pernambuco
6395,16/06/2020,Entre 28 a 36 anos,Gurinhém,Paraíba
6489,08/05/2018,Entre 50 a 61 anos,Funilândia,Minas Gerais
6503,07/09/2019,Entre 10 a 15 anos,Bom Jardim,Pernambuco
6511,30/03/2021,Entre 37 a 49 anos,Brejolândia,Bahia
6516,15/03/2021,Mais de 70 anos,São Martinho,Rio Grande do Sul
6523,10/07/2020,Entre 16 a 21 anos,Mirabela,Minas Gerais
6530,12/08/2018,Entre 28 a 36 anos,Porto Alegre do Piauí,Piauí
6550,17/06/2021,Entre 10 a 15 anos,Santana do Araguaia,Pará
6565,11/11/2019,Entre 10 a 15 anos,Caxambu,Minas Gerais
6609,05/06/2020,Entre 37 a 49 anos,Sapé,Paraíba
6648,24/03/2021,Entre 22 a 27 anos,Japaraíba,Minas Gerais
6669,30/10/2019,Entre 62 a 70 anos,Jaraguari,Mato Grosso do Sul
6689,22/06/2018,Mais de 70 anos,Messias,Alagoas
6702,08/12/2019,Entre 37 a 49 anos,Palmas,Paraná
6717,31/01/2020,Entre 37 a 49 anos,Linhares,Espírito Santo
6718,01/04/2021,Entre 62 a 70 anos,Indiara,Goiás
6723,12/07/2021,Entre 50 a 61 anos,Santa Cruz de Minas,Minas Gerais
6739,21/06/2018,Entre 37 a 49 anos,Santana de Pirapama,Minas Gerais
6746,23/07/2019,Entre 16 a 21 anos,Mariano Moro,Rio Grande do Sul
6873,13/12/2020,Entre 16 a 21 anos,Mirador,Paraná
6885,10/05/2019,Mais de 70 anos,Nova Erechim,Santa Catarina
6904,16/06/2021,Entre 10 a 15 anos,Santa Lúcia,São Paulo
6910,02/07/2021,Entre 10 a 15 anos,Águas Frias,Santa Catarina
6985,12/09/2019,Entre 62 a 70 anos,Brejetuba,Espírito Santo
6989,05/06/2020,Mais de 70 anos,Comodoro,Mato Grosso
7055,04/10/2020,Entre 50 a 61 anos,Águas de São Pedro,São Paulo
7142,16/09/2018,Entre 62 a 70 anos,Abaetetuba,Pará
7152,31/07/2020,Entre 28 a 36 anos,Uru,São Paulo
7221,30/10/2018,Entre 50 a 61 anos,Cutias,Amapá
7312,27/12/2018,Mais de 70 anos,Belém do Piauí,Piauí
7313,27/10/2018,Mais de 70 anos,Queimada Nova,Piauí
7369,02/11/2018,Entre 22 a 27 anos,Jutaí,Amazonas
7458,09/12/2019,Entre 16 a 21 anos,Bom Princípio,Rio Grande do Sul
7491,08/08/2020,Entre 62 a 70 anos,Água Boa,Minas Gerais
7531,14/12/2020,Entre 50 a 61 anos,Oliveira dos Brejinhos,Bahia
7546,23/04/2020,Entre 22 a 27 anos,Horizonte,Ceará
7605,03/02/2019,Entre 37 a 49 anos,Moreilândia,Pernambuco
7612,05/11/2018,Entre 16 a 21 anos,Bom Jesus das Selvas,Maranhão
7686,24/08/2018,Entre 50 a 61 anos,São João do Cariri,Paraíba
7705,07/07/2021,Entre 28 a 36 anos,Quixeré,Ceará
7716,07/02/2019,Entre 62 a 70 anos,São José do Sul,Rio Grande do Sul
7757,05/03/2018,Entre 50 a 61 anos,Santa Margarida,Minas Gerais
7830,11/12/2019,Entre 10 a 15 anos,Severínia,São Paulo
7834,02/11/2018,Entre 10 a 15 anos,Cumari,Goiás
7901,28/09/2019,Entre 16 a 21 anos,Itaguaí,Rio de Janeiro
7944,12/05/2019,Entre 10 a 15 anos,Vargem Grande do Sul,São Paulo
7952,26/09/2018,Entre 16 a 21 anos,Rio Bom,Paraná
8046,13/06/2020,Entre 28 a 36 anos,Marcos Parente,Piauí
8205,06/03/2020,Entre 28 a 36 anos,Passa e Fica,Rio Grande do Norte
8217,27/07/2021,Mais de 70 anos,Xapuri,Acre
8258,09/10/2018,Entre 50 a 61 anos,Posse,Goiás
8363,22/09/2019,Entre 28 a 36 anos,Pinheiro Preto,Santa Catarina
8368,06/04/2020,Entre 16 a 21 anos,Taquaraçu de Minas,Minas Gerais
8417,01/07/2018,Entre 22 a 27 anos,Raposos,Minas Gerais
8497,27/04/2018,Entre 10 a 15 anos,São Benedito,Ceará
8710,07/04/2020,Entre 37 a 49 anos,Belém,Paraíba
8729,03/01/2019,Entre 16 a 21 anos,Içara,Santa Catarina
8774,03/08/2019,Entre 16 a 21 anos,Laranjal,Paraná
8803,14/05/2018,Entre 50 a 61 anos,Sério,Rio Grande do Sul
8826,04/10/2019,Entre 10 a 15 anos,Boninal,Bahia
8861,22/07/2019,Entre 22 a 27 anos,Aurora,Santa Catarina
9062,13/07/2020,Entre 16 a 21 anos,Riachinho,Minas Gerais
9217,03/06/2019,Mais de 70 anos,Santo Antônio do Tauá,Pará
9444,15/04/2020,Entre 22 a 27 anos,Dom Viçoso,Minas Gerais
9534,16/05/2019,Entre 28 a 36 anos,Córrego Danta,Minas Gerais
9652,02/04/2018,Mais de 70 anos,Santa Luz,Piauí
9658,09/02/2020,Entre 22 a 27 anos,Macururé,Bahia
9691,15/03/2018,Entre 62 a 70 anos,Diamante,Paraíba
9704,13/05/2021,Entre 62 a 70 anos,São Borja,Rio Grande do Sul
9734,03/02/2018,Mais de 70 anos,Dirceu Arcoverde,Piauí
9805,29/06/2021,Entre 62 a 70 anos,Itinga,Minas Gerais
9980,09/02/2021,Entre 62 a 70 anos,Sátiro Dias,Bahia
10080,21/09/2020,Entre 10 a 15 anos,Rio Sono,Tocantins
10152,29/10/2019,Entre 62 a 70 anos,General Carneiro,Mato Grosso
10170,18/09/2020,Entre 16 a 21 anos,Juazeiro,Bahia
10197,15/03/2020,Entre 22 a 27 anos,Independência,Rio Grande do Sul
10237,08/05/2019,Entre 10 a 15 anos,Novo Itacolomi,Paraná
10305,11/05/2019,Mais de 70 anos,Inajá,Pernambuco
10309,28/09/2018,Entre 16 a 21 anos,Funilândia,Minas Gerais
10495,29/08/2018,Entre 16 a 21 anos,Ponte Branca,Mato Grosso
10531,13/11/2020,Mais de 70 anos,Fernão,São Paulo
10535,15/03/2019,Entre 16 a 21 anos,Nossa Senhora do Livramento,Mato Grosso
10538,18/03/2018,Entre 16 a 21 anos,Carandaí,Minas Gerais
10610,24/04/2020,Entre 10 a 15 anos,Florianópolis,Santa Catarina
10729,20/03/2019,Entre 16 a 21 anos,Miguel Pereira,Rio de Janeiro
10752,12/06/2021,Entre 62 a 70 anos,Hidrolina,Goiás
10778,07/04/2021,Mais de 70 anos,Itapeva,São Paulo
10860,25/06/2019,Entre 16 a 21 anos,Silva Jardim,Rio de Janeiro
10929,10/04/2021,Entre 37 a 49 anos,Brejo dos Santos,Paraíba
10958,26/11/2020,Entre 62 a 70 anos,São Lourenço do Sul,Rio Grande do Sul
11002,27/11/2019,Entre 16 a 21 anos,Santo Antônio das Missões,Rio Grande do Sul
11056,15/04/2021,Mais de 70 anos,São João do Carú,Maranhão
11068,02/08/2018,Entre 28 a 36 anos,Mafra,Santa Catarina
11128,15/06/2018,Entre 28 a 36 anos,São Bento do Una,Pernambuco
11161,13/03/2020,Mais de 70 anos,Loanda,Paraná
11170,15/04/2018,Entre 37 a 49 anos,Nina Rodrigues,Maranhão
11199,06/05/2021,Mais de 70 anos,Marília,São Paulo
11236,23/03/2020,Mais de 70 anos,São José da Tapera,Alagoas
11293,28/06/2021,Mais de 70 anos,Limoeiro do Norte,Ceará
11314,01/09/2019,Mais de 70 anos,Barreira,Ceará
11358,23/04/2019,Entre 37 a 49 anos,Capão da Canoa,Rio Grande do Sul
11394,20/05/2020,Entre 28 a 36 anos,Redentora,Rio Grande do Sul
11426,05/12/2020,Entre 16 a 21 anos,Barro Duro,Piauí
11546,04/07/2021,Entre 10 a 15 anos,Abreulândia,Tocantins
11557,27/01/2018,Entre 16 a 21 anos,Jaguapitã,Paraná
11629,18/12/2019,Entre 50 a 61 anos,Iraceminha,Santa Catarina
11739,25/02/2019,Entre 37 a 49 anos,Viana,Espírito Santo
11745,14/06/2018,Entre 28 a 36 anos,Pérola d'Oeste,Paraná
11750,09/02/2020,Entre 62 a 70 anos,Carmolândia,Tocantins
11769,27/03/2020,Entre 37 a 49 anos,Novo Cabrais,Rio Grande do Sul
11783,17/01/2019,Entre 22 a 27 anos,Casa Grande,Minas Gerais
11817,24/12/2018,Mais de 70 anos,Ponto Chique,Minas Gerais
12014,28/08/2020,Entre 50 a 61 anos,Engenheiro Caldas,Minas Gerais
12022,12/05/2021,Entre 16 a 21 anos,Gonzaga,Minas Gerais
12035,03/10/2020,Entre 50 a 61 anos,Cordilheira Alta,Santa Catarina
12042,17/12/2018,Entre 28 a 36 anos,Santana do Acaraú,Ceará
12077,18/09/2018,Entre 50 a 61 anos,Eirunepé,Amazonas
12127,29/08/2020,Entre 37 a 49 anos,Eusébio,Ceará
12196,09/08/2019,Entre 50 a 61 anos,Conceição dos Ouros,Minas Gerais
12298,13/04/2020,Entre 28 a 36 anos,Nazário,Goiás
12311,25/01/2018,Entre 37 a 49 anos,Ministro Andreazza,Rondônia
12354,02/07/2019,Entre 50 a 61 anos,Saudades,Santa Catarina
12355,10/03/2020,Entre 62 a 70 anos,Itauçu,Goiás
12364,03/02/2020,Mais de 70 anos,Pedro do Rosário,Maranhão
12375,13/12/2019,Entre 62 a 70 anos,Caraíbas,Bahia
12472,14/05/2018,Entre 37 a 49 anos,Bragança Paulista,São Paulo
12475,23/03/2021,Entre 62 a 70 anos,Campo Azul,Minas Gerais
12479,18/06/2021,Entre 22 a 27 anos,Itupiranga,Pará
12495,30/01/2020,Entre 16 a 21 anos,Conchas,São Paulo
12509,25/12/2018,Entre 50 a 61 anos,Jerônimo Monteiro,Espírito Santo
12541,07/05/2021,Mais de 70 anos,Brejinho,Pernambuco
12578,18/10/2020,Mais de 70 anos,Itagibá,Bahia
12722,09/06/2021,Entre 10 a 15 anos,Campo Alegre,Alagoas
12749,19/01/2019,Entre 16 a 21 anos,Quiterianópolis,Ceará
12806,29/05/2021,Entre 28 a 36 anos,São João da Varjota,Piauí
12836,13/06/2018,Entre 28 a 36 anos,Boa Vista do Tupim,Bahia
12851,26/07/2018,Entre 62 a 70 anos,Santa Rita,Maranhão
12864,22/01/2019,Mais de 70 anos,Centro Novo do Maranhão,Maranhão
13095,10/02/2021,Entre 50 a 61 anos,Porto Alegre do Tocantins,Tocantins
13117,13/11/2019,Mais de 70 anos,Jari,Rio Grande do Sul
13149,03/11/2020,Mais de 70 anos,Caibi,Santa Catarina
13297,10/07/2019,Entre 22 a 27 anos,Potiretama,Ceará
13332,09/12/2020,Entre 16 a 21 anos,Guamaré,Rio Grande do Norte
13400,15/01/2021,Mais de 70 anos,São Luís,Maranhão
13416,27/09/2018,Entre 62 a 70 anos,Lagarto,Sergipe
13476,28/06/2021,Entre 28 a 36 anos,Campina Verde,Minas Gerais
13545,25/04/2019,Entre 50 a 61 anos,Italva,Rio de Janeiro
13619,22/06/2019,Entre 28 a 36 anos,Trombudo Central,Santa Catarina
13675,08/02/2019,Entre 37 a 49 anos,Canapi,Alagoas
13796,27/04/2020,Entre 28 a 36 anos,Tanabi,São Paulo
13827,26/06/2019,Mais de 70 anos,Gameleira,Pernambuco
13841,14/08/2019,Entre 16 a 21 anos,Pirangi,São Paulo
13941,03/09/2018,Entre 62 a 70 anos,Caçu,Goiás
13950,10/05/2021,Entre 22 a 27 anos,Caturama,Bahia
13962,27/10/2018,Entre 62 a 70 anos,Guiratinga,Mato Grosso
13964,12/06/2021,Entre 37 a 49 anos,Cerquilho,São Paulo
14052,20/05/2021,Mais de 70 anos,Agrestina,Pernambuco
14222,25/10/2018,Entre 50 a 61 anos,Mocajuba,Pará
14278,08/12/2019,Entre 10 a 15 anos,Tenente Laurentino Cruz,Rio Grande do Norte
14355,06/01/2018,Entre 28 a 36 anos,Ipecaetá,Bahia
14478,16/03/2021,Entre 22 a 27 anos,Cachoeira Dourada,Goiás
14479,16/01/2019,Entre 50 a 61 anos,Ipubi,Pernambuco
14486,12/08/2020,Entre 22 a 27 anos,Coxixola,Paraíba
14488,01/01/2021,Entre 62 a 70 anos,Alto Araguaia,Mato Grosso
14495,01/11/2018,Entre 62 a 70 anos,Ituaçu,Bahia
14701,16/05/2019,Entre 28 a 36 anos,Nova Santa Helena,Mato Grosso
14774,20/04/2019,Entre 22 a 27 anos,Tomé-Açu,Pará
14787,16/12/2019,Mais de 70 anos,Vieiras,Minas Gerais
14838,05/09/2019,Entre 28 a 36 anos,Japorã,Mato Grosso do Sul
14884,18/06/2021,Entre 28 a 36 anos,Pelotas,Rio Grande do Sul
14939,03/01/2019,Mais de 70 anos,Governador Archer,Maranhão
14950,11/11/2019,Entre 50 a 61 anos,Ocara,Ceará
14972,06/06/2020,Entre 22 a 27 anos,Matias Barbosa,Minas Gerais
15005,17/12/2019,Entre 16 a 21 anos,Cornélio Procópio,Paraná
15171,26/10/2019,Entre 37 a 49 anos,Silvanópolis,Tocantins
15173,25/01/2020,Entre 50 a 61 anos,Machados,Pernambuco
15198,03/04/2020,Mais de 70 anos,Urubici,Santa Catarina
15284,10/11/2018,Entre 22 a 27 anos,São José do Divino,Minas Gerais
15288,05/08/2019,Mais de 70 anos,Pinhão,Paraná
15313,18/11/2019,Entre 50 a 61 anos,Tabaí,Rio Grande do Sul
15379,21/05/2021,Entre 50 a 61 anos,Taciba,São Paulo
15691,07/11/2018,Entre 22 a 27 anos,Imigrante,Rio Grande do Sul
15750,25/07/2019,Mais de 70 anos,Nossa Senhora do Socorro,Sergipe
15784,16/09/2019,Entre 37 a 49 anos,São Vicente do Seridó,Paraíba
15831,18/12/2019,Entre 37 a 49 anos,São Sebastião do Paraíso,Minas Gerais
15899,03/11/2018,Entre 28 a 36 anos,Lajeado,Tocantins
15912,28/01/2020,Entre 28 a 36 anos,Santa Luzia do Norte,Alagoas
15930,07/02/2019,Mais de 70 anos,Major Isidoro,Alagoas
16004,20/06/2021,Entre 22 a 27 anos,Lagoa do Barro do Piauí,Piauí
16058,22/07/2020,Entre 37 a 49 anos,São José do Divino,Minas Gerais
16079,04/10/2018,Entre 22 a 27 anos,Natividade da Serra,São Paulo
16085,14/05/2019,Entre 22 a 27 anos,Ituaçu,Bahia
16194,04/08/2020,Entre 10 a 15 anos,Barracão,Paraná
16229,02/06/2021,Entre 62 a 70 anos,Três de Maio,Rio Grande do Sul
16243,02/03/2020,Entre 37 a 49 anos,Livramento de Nossa Senhora,Bahia
16301,28/06/2018,Entre 37 a 49 anos,Bezerros,Pernambuco
16423,09/12/2020,Entre 28 a 36 anos,Mulungu do Morro,Bahia
16570,03/09/2020,Entre 22 a 27 anos,Cachoeirinha,Pernambuco
16605,25/07/2019,Entre 28 a 36 anos,São Geraldo da Piedade,Minas Gerais
16658,07/11/2019,Entre 37 a 49 anos,Nova Araçá,Rio Grande do Sul
16669,30/09/2019,Entre 37 a 49 anos,Carpina,Pernambuco
16803,25/09/2019,Entre 37 a 49 anos,Pinheirinho do Vale,Rio Grande do Sul
16818,15/11/2018,Entre 28 a 36 anos,Aporé,Goiás
16840,15/05/2019,Entre 16 a 21 anos,Brotas,São Paulo
16951,16/02/2021,Entre 22 a 27 anos,Ponta Grossa,Paraná
16954,02/03/2020,Entre 37 a 49 anos,Iconha,Espírito Santo
17049,04/12/2019,Entre 16 a 21 anos,Mirador,Maranhão
17054,14/12/2018,Entre 50 a 61 anos,Prata,Minas Gerais
17137,09/07/2018,Entre 10 a 15 anos,Glorinha,Rio Grande do Sul
17163,14/03/2020,Entre 10 a 15 anos,Xique-Xique,Bahia
17223,23/06/2021,Entre 62 a 70 anos,Santo Expedito do Sul,Rio Grande do Sul
17292,01/04/2018,Entre 28 a 36 anos,Araguatins,Tocantins
17294,08/01/2021,Entre 37 a 49 anos,Carvalhos,Minas Gerais
17296,27/04/2020,Entre 10 a 15 anos,Urucará,Amazonas
17361,18/12/2019,Entre 22 a 27 anos,Campo Belo,Minas Gerais
17381,24/11/2018,Mais de 70 anos,São Vicente de Minas,Minas Gerais
17504,19/04/2019,Entre 10 a 15 anos,Sabino,São Paulo
17530,26/09/2019,Entre 28 a 36 anos,Mato Queimado,Rio Grande do Sul
17636,25/05/2018,Entre 50 a 61 anos,Itarana,Espírito Santo
17638,17/12/2020,Mais de 70 anos,Peçanha,Minas Gerais
17653,21/04/2020,Entre 62 a 70 anos,Imbituba,Santa Catarina
17658,22/04/2018,Entre 37 a 49 anos,Itaguatins,Tocantins
17666,30/11/2018,Mais de 70 anos,Tigrinhos,Santa Catarina
17670,12/12/2019,Entre 16 a 21 anos,Paulo Bento,Rio Grande do Sul
17779,22/05/2021,Entre 28 a 36 anos,Matinhas,Paraíba
17798,26/11/2018,Entre 37 a 49 anos,São Miguel dos Milagres,Alagoas
17899,05/10/2018,Entre 28 a 36 anos,Jaboticaba,Rio Grande do Sul
17908,06/02/2019,Entre 16 a 21 anos,Poço Dantas,Paraíba
17928,06/05/2019,Entre 50 a 61 anos,Ipixuna do Pará,Pará
17945,20/04/2020,Entre 16 a 21 anos,Pirapora do Bom Jesus,São Paulo
17977,27/09/2019,Entre 62 a 70 anos,Martins,Rio Grande do Norte
17990,24/05/2019,Entre 50 a 61 anos,Carrancas,Minas Gerais
18000,10/10/2018,Entre 62 a 70 anos,São José dos Campos,São Paulo
18012,15/03/2020,Mais de 70 anos,Piacatu,São Paulo
18013,16/03/2019,Entre 28 a 36 anos,São Pedro das Missões,Rio Grande do Sul
18026,16/12/2019,Entre 50 a 61 anos,Itapecuru Mirim,Maranhão
18028,29/09/2020,Mais de 70 anos,Lacerdópolis,Santa Catarina
18034,04/05/2019,Entre 22 a 27 anos,São Luís,Maranhão
18130,14/10/2019,Entre 16 a 21 anos,São Pedro da Cipa,Mato Grosso
18166,27/12/2019,Entre 62 a 70 anos,Rancho Alegre,Paraná
18167,29/09/2018,Entre 37 a 49 anos,Itabi,Sergipe
18242,08/08/2019,Entre 50 a 61 anos,Perobal,Paraná
18290,10/08/2018,Entre 22 a 27 anos,Bom Jesus,Rio Grande do Sul
18366,08/09/2019,Entre 28 a 36 anos,Cachoeira Paulista,São Paulo
18369,16/03/2019,Mais de 70 anos,Santa Carmem,Mato Grosso
18386,20/05/2018,Entre 37 a 49 anos,Reserva,Paraná
18417,02/10/2020,Entre 37 a 49 anos,Campestre,Alagoas
18602,18/04/2021,Entre 50 a 61 anos,Coqueiro Baixo,Rio Grande do Sul
18614,17/04/2018,Entre 37 a 49 anos,Boa Esperança,Espírito Santo
18654,17/12/2019,Entre 62 a 70 anos,Formosa do Rio Preto,Bahia
18655,14/08/2019,Entre 62 a 70 anos,Vargem Bonita,Minas Gerais
18658,14/06/2021,Entre 16 a 21 anos,Turvo,Santa Catarina
18747,14/05/2019,Entre 22 a 27 anos,Pompéu,Minas Gerais
18798,19/12/2018,Mais de 70 anos,Garruchos,Rio Grande do Sul
18800,13/06/2018,Mais de 70 anos,Riachão do Jacuípe,Bahia
18806,10/10/2018,Entre 50 a 61 anos,Rio dos Índios,Rio Grande do Sul
